Codigo_distrito,Nombre_distrito,Nombre_barrio,Nombre_calle,Dia_semana,Descripcion_tipo_dia,Descripcion_turno,Numero_muertos,Numero_lesionados_leves,Numero_lesionados_graves,Numero_victimas,Numero_vehiculos_implicados,Longitud,Latitud,fecha
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dc,Laboral,Tarda,0,1,0,1,2,2.141039,41.337143,2018-02-28 19:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / E Zona Franca              ,Dl,Laboral,Matí,0,1,0,1,2,2.129612,41.336163,2018-11-26 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Feixa Llarga                                      ,Dl,Laboral,Matí,0,1,0,1,1,2.107912,41.338411,2018-03-26 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 50 Zona Franca                             ,Dj,Laboral,Tarda,0,1,0,1,2,2.121214,41.336838,2018-03-15 20:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Dc,Laboral,Tarda,0,1,0,1,3,2.124529,41.337668,2018-05-16 19:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Dj,Laboral,Tarda,0,1,0,1,3,2.124529,41.337668,2018-03-22 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 50 Zona Franca / Número 3 Zona Franca      ,Dl,Laboral,Matí,0,1,0,1,1,2.1204520000000002,41.339426,2018-10-08 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 50 Zona Franca / Número 3 Zona Franca      ,Dl,Laboral,Matí,0,1,0,1,2,2.1204520000000002,41.339426,2018-11-12 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 50 Zona Franca / Número 3 Zona Franca      ,Dm,Laboral,Tarda,0,1,0,1,1,2.1204520000000002,41.339426,2018-12-18 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 50 Zona Franca / Número 3 Zona Franca      ,Dl,Laboral,Nit,0,1,0,1,1,2.1204520000000002,41.339426,2018-10-01 22:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Llobregat)                               ,Dg,Laboral,Matí,0,2,0,2,2,2.120616,41.340133,2018-05-06 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Ds,Laboral,Matí,0,2,0,2,1,2.114054,41.339771999999996,2018-03-10 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Dg,Laboral,Matí,0,0,0,0,1,2.1358,41.334134999999996,2018-10-07 12:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Llobregat)                               ,Dc,Laboral,Matí,0,0,0,0,1,2.120616,41.340133,2018-07-25 12:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Dl,Laboral,Tarda,0,1,0,1,2,2.151883,41.328179,2018-11-12 20:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 50 Zona Franca / Número 3 Zona Franca      ,Dc,Laboral,Tarda,0,1,0,1,1,2.1204520000000002,41.339426,2018-11-07 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 50 Zona Franca / Número 3 Zona Franca      ,Dm,Laboral,Tarda,0,2,0,2,1,2.1204520000000002,41.339426,2018-11-06 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dv,Laboral,Matí,0,1,0,1,2,2.145356,41.343094,2018-06-01 07:00:00
